frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65234,621,23,12,1,10
0,65221,648,24,12,1,10
1,65234,621,23,12,1,10
1,65221,648,24,12,1,10
2,65234,621,23,12,1,10
2,65221,648,24,12,1,10
3,None, None, None, None, None
4,65260,567,21,12,65533,10
4,65247,594,22,25,65533,10
4,65256,631,23,37,65533,10
4,65243,658,24,36,65533,10
4,65231,686,25,23,65533,10
4,65247,594,22,29,65534,10
4,65256,631,23,38,65534,10
5,65260,567,21,12,65533,10
5,65247,594,22,25,65533,10
5,65256,631,23,37,65533,10
5,65243,658,24,36,65533,10
5,65231,686,25,23,65533,10
5,65247,594,22,29,65534,10
5,65256,631,23,38,65534,10
6,65438,439,15,21,65529,10
6,65431,469,16,43,65529,10
6,65408,494,17,52,65529,10
6,65401,523,18,37,65529,10
6,65438,439,15,36,65530,10
6,65431,469,16,71,65530,10
6,65424,498,17,80,65530,10
6,65418,527,18,54,65530,10
6,65393,552,19,20,65530,10
6,65508,449,15,26,65532,10
6,65506,479,16,24,65532,10
6,65497,418,14,38,65533,10
6,65494,448,15,66,65533,10
6,65491,478,16,65,65533,10
6,65488,508,17,36,65533,10
6,65510,419,14,32,65534,10
6,65508,449,15,57,65534,10
6,65506,479,16,56,65534,10
6,65504,509,17,32,65534,10
7,21,330,11,40,65532,10
7,23,360,12,30,65532,10
8,21,330,11,40,65532,10
8,23,360,12,30,65532,10
9,None, None, None, None, None
10,None, None, None, None, None
11,None, None, None, None, None
12,None, None, None, None, None
13,None, None, None, None, None
14,220,323,13,16,2,10
14,203,298,12,19,3,10
14,220,323,13,26,3,10
14,236,347,14,20,3,10
15,183,411,15,18,4,10
15,195,439,16,56,4,10
15,207,466,17,91,4,10
15,220,494,18,87,4,10
15,232,521,19,50,4,10
15,244,549,20,18,4,10
15,183,411,15,23,5,10
15,180,445,16,77,5,10
15,191,473,17,137,5,10
15,203,501,18,143,5,10
15,214,529,19,91,5,10
15,225,557,20,35,5,10
15,165,451,16,52,6,10
15,175,479,17,89,6,10
15,186,507,18,91,6,10
15,196,536,19,57,6,10
15,206,564,20,21,6,10
15,255,442,17,29,7,10
15,270,468,18,39,7,10
15,285,494,19,33,7,10
15,281,530,20,17,7,10
16,183,411,15,18,4,10
16,195,439,16,56,4,10
16,207,466,17,91,4,10
16,220,494,18,87,4,10
16,232,521,19,50,4,10
16,244,549,20,18,4,10
16,183,411,15,23,5,10
16,180,445,16,77,5,10
16,191,473,17,137,5,10
16,203,501,18,143,5,10
16,214,529,19,91,5,10
16,225,557,20,35,5,10
16,165,451,16,52,6,10
16,175,479,17,89,6,10
16,186,507,18,91,6,10
16,196,536,19,57,6,10
16,206,564,20,21,6,10
16,255,442,17,29,7,10
16,270,468,18,39,7,10
16,285,494,19,33,7,10
16,281,530,20,17,7,10
17,638,1939,68,31,0,10
17,178,542,19,29,2,10
17,188,570,20,53,2,10
17,197,599,21,56,2,10
17,206,627,22,34,2,10
17,160,547,19,31,3,10
17,169,576,20,56,3,10
17,177,605,21,58,3,10
17,186,634,22,35,3,10
17,124,649,22,15,6,10
17,280,631,23,13,6,10
17,248,677,24,37,6,10
17,235,713,25,47,6,10
17,244,741,26,32,6,10
17,237,648,23,14,7,10
17,225,684,24,32,7,10
17,211,720,25,37,7,10
17,220,749,26,27,7,10
17,228,778,27,13,7,10
17,65,687,23,12,6,10
18,638,1939,68,31,0,10
18,178,542,19,29,2,10
18,188,570,20,53,2,10
18,197,599,21,56,2,10
18,206,627,22,34,2,10
18,160,547,19,31,3,10
18,169,576,20,56,3,10
18,177,605,21,58,3,10
18,186,634,22,35,3,10
18,124,649,22,15,6,10
18,280,631,23,13,6,10
18,248,677,24,37,6,10
18,235,713,25,47,6,10
18,244,741,26,32,6,10
18,237,648,23,14,7,10
18,225,684,24,32,7,10
18,211,720,25,37,7,10
18,220,749,26,27,7,10
18,228,778,27,13,7,10
18,65,687,23,12,6,10
19,146,767,26,43,3,10
19,152,796,27,63,3,10
19,184,820,28,64,3,10
19,190,849,29,51,3,10
19,225,872,30,32,3,10
19,146,767,26,23,4,10
19,152,796,27,36,4,10
19,158,826,28,40,4,10
19,190,849,29,35,4,10
19,225,872,30,23,4,10
20,146,767,26,43,3,10
20,152,796,27,63,3,10
20,184,820,28,64,3,10
20,190,849,29,51,3,10
20,225,872,30,32,3,10
20,146,767,26,23,4,10
20,152,796,27,36,4,10
20,158,826,28,40,4,10
20,190,849,29,35,4,10
20,225,872,30,23,4,10
21,136,860,29,19,0,10
21,131,830,28,30,1,10
21,136,860,29,34,1,10
21,109,864,29,18,2,10
22,136,860,29,19,0,10
22,131,830,28,30,1,10
22,136,860,29,34,1,10
22,109,864,29,18,2,10
23,105,834,28,18,0,10
23,109,864,29,23,0,10
23,113,893,30,16,0,10
23,136,860,29,19,65534,10
23,105,834,28,38,65535,10
23,109,864,29,46,65535,10
24,122,771,26,19,65533,10
24,127,801,27,31,65533,10
24,105,834,28,29,65533,10
24,122,771,26,35,65534,10
24,127,801,27,58,65534,10
24,105,834,28,54,65534,10
25,122,771,26,19,65533,10
25,127,801,27,31,65533,10
25,105,834,28,29,65533,10
25,122,771,26,35,65534,10
25,127,801,27,58,65534,10
25,105,834,28,54,65534,10
26,129,678,23,24,65532,10
26,135,708,24,52,65532,10
26,141,737,25,68,65532,10
26,146,767,26,64,65532,10
26,152,796,27,52,65532,10
26,184,820,28,37,65532,10
26,108,682,23,32,65533,10
26,90,715,24,67,65533,10
26,94,745,25,84,65533,10
26,98,774,26,73,65533,10
26,101,804,27,52,65533,10
27,129,678,23,24,65532,10
27,135,708,24,52,65532,10
27,141,737,25,68,65532,10
27,146,767,26,64,65532,10
27,152,796,27,52,65532,10
27,184,820,28,37,65532,10
27,108,682,23,32,65533,10
27,90,715,24,67,65533,10
27,94,745,25,84,65533,10
27,98,774,26,73,65533,10
27,101,804,27,52,65533,10
28,38,599,20,12,65529,10
28,59,628,21,20,65529,10
28,62,657,22,23,65529,10
28,86,685,23,18,65529,10
28,53,568,19,17,65530,10
28,38,599,20,31,65530,10
28,39,629,21,39,65530,10
28,62,657,22,35,65530,10
28,65,687,23,23,65530,10
28,36,569,19,21,65531,10
28,38,599,20,35,65531,10
28,39,629,21,36,65531,10
28,21,660,22,25,65531,10
28,96,501,17,29,65532,10
28,118,527,18,31,65532,10
28,80,504,17,48,65533,10
28,84,534,18,56,65533,10
28,89,563,19,39,65533,10
28,80,504,17,24,65534,10
28,84,534,18,29,65534,10
29,65524,390,13,35,65529,10
29,65523,420,14,56,65529,10
29,65522,450,15,56,65529,10
29,65506,479,16,34,65529,10
29,65524,390,13,50,65530,10
29,65510,419,14,94,65530,10
29,65494,448,15,108,65530,10
29,65491,478,16,79,65530,10
29,65472,506,17,35,65530,10
29,65512,389,13,49,65531,10
29,65497,418,14,100,65531,10
29,65480,447,15,123,65531,10
29,65476,477,16,94,65531,10
29,65456,504,17,45,65531,10
29,0,390,13,68,65532,10
29,0,420,14,126,65532,10
29,0,450,15,134,65532,10
29,0,480,16,85,65532,10
29,65520,510,17,32,65532,10
30,65524,390,13,35,65529,10
30,65523,420,14,56,65529,10
30,65522,450,15,56,65529,10
30,65506,479,16,34,65529,10
30,65524,390,13,50,65530,10
30,65510,419,14,94,65530,10
30,65494,448,15,108,65530,10
30,65491,478,16,79,65530,10
30,65472,506,17,35,65530,10
30,65512,389,13,49,65531,10
30,65497,418,14,100,65531,10
30,65480,447,15,123,65531,10
30,65476,477,16,94,65531,10
30,65456,504,17,45,65531,10
30,0,390,13,68,65532,10
30,0,420,14,126,65532,10
30,0,450,15,134,65532,10
30,0,480,16,85,65532,10
30,65520,510,17,32,65532,10
31,65361,280,11,17,0,10
31,65345,305,12,22,0,10
31,65329,331,13,18,0,10
31,65361,280,11,32,65534,10
31,65356,312,12,29,65534,10
31,65341,338,13,21,65534,10
31,65358,242,10,26,65535,10
31,65350,273,11,39,65535,10
31,65345,305,12,46,65535,10
31,65329,331,13,36,65535,10
32,65361,280,11,17,0,10
32,65345,305,12,22,0,10
32,65329,331,13,18,0,10
32,65361,280,11,32,65534,10
32,65356,312,12,29,65534,10
32,65341,338,13,21,65534,10
32,65358,242,10,26,65535,10
32,65350,273,11,39,65535,10
32,65345,305,12,46,65535,10
32,65329,331,13,36,65535,10
