frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65371,286,11,41,1,10
0,65356,312,12,32,1,10
0,65377,254,10,51,2,10
0,65361,280,11,67,2,10
0,65345,305,12,53,2,10
0,65341,338,13,25,2,10
0,65361,280,11,33,3,10
0,65345,305,12,26,3,10
1,65414,371,13,29,2,10
1,65405,399,14,36,2,10
1,65395,428,15,26,2,10
1,65412,338,12,41,3,10
1,65402,366,13,92,3,10
1,65392,395,14,118,3,10
1,65381,423,15,91,3,10
1,65371,451,16,40,3,10
1,65412,338,12,41,4,10
1,65402,366,13,98,4,10
1,65392,395,14,130,4,10
1,65367,417,15,105,4,10
1,65356,445,16,51,4,10
1,65401,334,12,18,5,10
1,65390,362,13,45,5,10
1,65378,390,14,63,5,10
1,65353,411,15,53,5,10
1,65341,439,16,28,5,10
1,5606,13858,498,4,65532,10
2,65466,445,15,27,2,10
2,65461,474,16,67,2,10
2,65456,504,17,90,2,10
2,65452,534,18,70,2,10
2,65465,566,19,31,2,10
2,65452,442,15,50,3,10
2,65461,474,16,122,3,10
2,65456,504,17,164,3,10
2,65452,534,18,128,3,10
2,65447,563,19,56,3,10
2,65452,442,15,29,4,10
2,65446,472,16,70,4,10
2,65440,501,17,94,4,10
2,65435,531,18,73,4,10
2,65429,560,19,32,4,10
2,2322,14677,495,6,65533,10
2,2326,14706,496,5,65533,10
3,65466,445,15,27,2,10
3,65461,474,16,67,2,10
3,65456,504,17,90,2,10
3,65452,534,18,70,2,10
3,65465,566,19,31,2,10
3,65452,442,15,50,3,10
3,65461,474,16,122,3,10
3,65456,504,17,164,3,10
3,65452,534,18,128,3,10
3,65447,563,19,56,3,10
3,65452,442,15,29,4,10
3,65446,472,16,70,4,10
3,65440,501,17,94,4,10
3,65435,531,18,73,4,10
3,65429,560,19,32,4,10
3,2322,14677,495,6,65533,10
3,2326,14706,496,5,65533,10
4,65466,445,15,27,2,10
4,65461,474,16,67,2,10
4,65456,504,17,90,2,10
4,65452,534,18,70,2,10
4,65465,566,19,31,2,10
4,65452,442,15,50,3,10
4,65461,474,16,122,3,10
4,65456,504,17,164,3,10
4,65452,534,18,128,3,10
4,65447,563,19,56,3,10
4,65452,442,15,29,4,10
4,65446,472,16,70,4,10
4,65440,501,17,94,4,10
4,65435,531,18,73,4,10
4,65429,560,19,32,4,10
4,2322,14677,495,6,65533,10
4,2326,14706,496,5,65533,10
5,65502,539,18,21,2,10
5,65500,569,19,34,2,10
5,65498,599,20,30,2,10
5,65500,569,19,25,3,10
5,65498,599,20,22,3,10
6,65516,630,21,18,0,10
6,65515,660,22,14,0,10
6,65517,600,20,28,1,10
6,65516,630,21,39,1,10
6,65515,660,22,31,1,10
6,65517,600,20,23,2,10
6,65497,629,21,33,2,10
6,65495,659,22,26,2,10
7,65516,630,21,18,0,10
7,65515,660,22,14,0,10
7,65517,600,20,28,1,10
7,65516,630,21,39,1,10
7,65515,660,22,31,1,10
7,65517,600,20,23,2,10
7,65497,629,21,33,2,10
7,65495,659,22,26,2,10
8,65495,659,22,33,1,10
8,65493,689,23,27,1,10
9,65495,659,22,33,1,10
9,65493,689,23,27,1,10
