frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65340,266,11,10,1,10
0,65322,290,12,11,1,10
0,65340,266,11,15,65535,10
0,65322,290,12,16,65535,10
0,65292,305,13,11,65535,10
1,65330,258,11,14,1,10
1,65311,281,12,15,1,10
1,65292,305,13,9,1,10
1,65330,258,11,9,65535,10
1,65311,281,12,9,65535,10
2,65330,258,11,14,1,10
2,65311,281,12,15,1,10
2,65292,305,13,9,1,10
2,65330,258,11,9,65535,10
2,65311,281,12,9,65535,10
3,65390,329,12,41,1,10
3,65377,357,13,58,1,10
3,65365,384,14,49,1,10
3,65367,417,15,24,1,10
3,65378,324,12,131,2,10
3,65365,351,13,186,2,10
3,65365,384,14,154,2,10
3,65353,411,15,75,2,10
3,65341,439,16,22,2,10
3,65381,292,11,45,3,10
3,65367,318,12,119,3,10
3,65353,345,13,169,3,10
3,65339,371,14,141,3,10
3,65325,398,15,70,3,10
3,65311,424,16,21,3,10
3,65333,298,12,42,4,10
3,65316,323,13,62,4,10
3,65300,347,14,57,4,10
3,65269,362,15,33,4,10
3,1732,1242,71,37,4,10
3,1756,1260,72,30,4,10
3,6540,13443,498,6,65533,10
3,6553,13470,499,7,65533,10
3,6566,13496,500,5,65533,10
3,6540,13443,498,6,65534,10
3,6553,13470,499,8,65534,10
3,6566,13496,500,6,65534,10
3,999,1883,71,31,4,10
3,1081,1872,72,28,4,10
4,65390,329,12,41,1,10
4,65377,357,13,58,1,10
4,65365,384,14,49,1,10
4,65367,417,15,24,1,10
4,65378,324,12,131,2,10
4,65365,351,13,186,2,10
4,65365,384,14,154,2,10
4,65353,411,15,75,2,10
4,65341,439,16,22,2,10
4,65381,292,11,45,3,10
4,65367,318,12,119,3,10
4,65353,345,13,169,3,10
4,65339,371,14,141,3,10
4,65325,398,15,70,3,10
4,65311,424,16,21,3,10
4,65333,298,12,42,4,10
4,65316,323,13,62,4,10
4,65300,347,14,57,4,10
4,65269,362,15,33,4,10
4,1732,1242,71,37,4,10
4,1756,1260,72,30,4,10
4,6540,13443,498,6,65533,10
4,6553,13470,499,7,65533,10
4,6566,13496,500,5,65533,10
4,6540,13443,498,6,65534,10
4,6553,13470,499,8,65534,10
4,6566,13496,500,6,65534,10
4,999,1883,71,31,4,10
4,1081,1872,72,28,4,10
5,65390,329,12,41,1,10
5,65377,357,13,58,1,10
5,65365,384,14,49,1,10
5,65367,417,15,24,1,10
5,65378,324,12,131,2,10
5,65365,351,13,186,2,10
5,65365,384,14,154,2,10
5,65353,411,15,75,2,10
5,65341,439,16,22,2,10
