frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,41,659,22,39,65535,10
1,41,659,22,39,65535,10
2,38,599,20,22,0,10
2,39,629,21,22,0,10
2,62,657,22,13,0,10
2,53,568,19,29,65534,10
2,56,598,20,53,65534,10
2,59,628,21,54,65534,10
2,62,657,22,31,65534,10
2,36,569,19,31,65535,10
2,38,599,20,55,65535,10
2,39,629,21,56,65535,10
2,41,659,22,33,65535,10
3,65429,560,19,19,65531,10
3,65423,590,20,31,65531,10
3,65418,619,21,30,65531,10
3,0,510,17,27,65532,10
3,0,540,18,51,65532,10
3,0,570,19,54,65532,10
3,0,600,20,35,65532,10
3,65520,510,17,54,65533,10
3,65519,540,18,98,65533,10
3,65518,570,19,102,65533,10
3,65517,600,20,63,65533,10
3,0,510,17,29,65534,10
3,65519,540,18,53,65534,10
3,65518,570,19,56,65534,10
3,0,600,20,36,65534,10
4,65429,560,19,19,65531,10
4,65423,590,20,31,65531,10
4,65418,619,21,30,65531,10
4,0,510,17,27,65532,10
4,0,540,18,51,65532,10
4,0,570,19,54,65532,10
4,0,600,20,35,65532,10
4,65520,510,17,54,65533,10
4,65519,540,18,98,65533,10
4,65518,570,19,102,65533,10
4,65517,600,20,63,65533,10
4,0,510,17,29,65534,10
4,65519,540,18,53,65534,10
4,65518,570,19,56,65534,10
4,0,600,20,36,65534,10
5,65405,399,14,28,65530,10
5,65395,428,15,42,65530,10
5,65386,456,16,38,65530,10
5,65392,490,17,20,65530,10
5,65451,381,13,21,65531,10
5,65444,410,14,55,65531,10
5,65423,436,15,82,65531,10
5,65416,465,16,75,65531,10
5,65408,494,17,42,65531,10
5,65475,385,13,28,65532,10
5,65470,415,14,77,65532,10
5,65466,445,15,115,65532,10
5,65461,474,16,102,65532,10
5,65456,504,17,54,65532,10
5,65452,534,18,16,65532,10
5,65457,413,14,39,65533,10
5,65452,442,15,58,65533,10
5,65446,472,16,52,65533,10
5,65440,501,17,28,65533,10
6,65405,399,14,28,65530,10
6,65395,428,15,42,65530,10
6,65386,456,16,38,65530,10
6,65392,490,17,20,65530,10
6,65451,381,13,21,65531,10
6,65444,410,14,55,65531,10
6,65423,436,15,82,65531,10
6,65416,465,16,75,65531,10
6,65408,494,17,42,65531,10
6,65475,385,13,28,65532,10
6,65470,415,14,77,65532,10
6,65466,445,15,115,65532,10
6,65461,474,16,102,65532,10
6,65456,504,17,54,65532,10
6,65452,534,18,16,65532,10
6,65457,413,14,39,65533,10
6,65452,442,15,58,65533,10
6,65446,472,16,52,65533,10
6,65440,501,17,28,65533,10
7,65170,1917,65,74,0,10
7,65226,1957,66,109,0,10
7,65222,1987,67,95,0,10
7,65170,1917,65,52,1,10
7,65165,1946,66,70,1,10
7,65222,1987,67,58,1,10
7,65378,324,12,33,65532,10
7,65367,318,12,40,65533,10
7,65353,345,13,17,65533,10
7,65386,456,16,23,65534,10
7,65170,1917,65,181,65535,10
7,65165,1946,66,258,65535,10
7,65159,1976,67,220,65535,10
8,65170,1917,65,74,0,10
8,65226,1957,66,109,0,10
8,65222,1987,67,95,0,10
8,65170,1917,65,52,1,10
8,65165,1946,66,70,1,10
8,65222,1987,67,58,1,10
8,65378,324,12,33,65532,10
8,65367,318,12,40,65533,10
8,65353,345,13,17,65533,10
8,65386,456,16,23,65534,10
8,65170,1917,65,181,65535,10
8,65165,1946,66,258,65535,10
8,65159,1976,67,220,65535,10
9,65367,211,9,29,0,10
9,65339,227,10,24,0,10
9,65359,204,9,57,65535,10
9,65339,227,10,48,65535,10
