frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65511,810,27,10,65533,10
0,65510,840,28,22,65533,10
0,65509,870,29,27,65533,10
0,65508,900,30,20,65533,10
0,65511,810,27,29,65534,10
0,0,841,28,57,65534,10
0,0,871,29,70,65534,10
0,0,901,30,52,65534,10
0,65510,840,28,48,65535,10
0,65509,870,29,58,65535,10
1,65511,810,27,10,65533,10
1,65510,840,28,22,65533,10
1,65509,870,29,27,65533,10
1,65508,900,30,20,65533,10
1,65511,810,27,29,65534,10
1,0,841,28,57,65534,10
1,0,871,29,70,65534,10
1,0,901,30,52,65534,10
1,65510,840,28,48,65535,10
1,65509,870,29,58,65535,10
2,0,750,25,18,65531,10
2,65512,780,26,26,65531,10
2,65511,810,27,25,65531,10
2,65510,840,28,16,65531,10
2,0,720,24,21,65532,10
2,0,750,25,53,65532,10
2,0,780,26,76,65532,10
2,0,810,27,69,65532,10
2,0,841,28,43,65532,10
2,0,871,29,22,65532,10
2,65513,750,25,44,65533,10
2,65512,780,26,62,65533,10
2,65511,810,27,55,65533,10
2,65483,839,28,32,65533,10
3,18,570,19,16,65530,10
3,19,600,20,53,65530,10
3,0,630,21,94,65530,10
3,0,660,22,99,65530,10
3,0,690,23,62,65530,10
3,65513,720,24,22,65530,10
3,65518,570,19,16,65531,10
3,65517,600,20,55,65531,10
3,65516,630,21,99,65531,10
3,65515,660,22,104,65531,10
3,65514,690,23,65,65531,10
3,65491,719,24,22,65531,10
3,84,534,18,18,65532,10
3,89,563,19,36,65532,10
3,94,593,20,39,65532,10
3,65497,629,21,24,65532,10
3,65515,660,22,26,65532,10
3,68,536,18,41,65533,10
3,71,566,19,80,65533,10
3,75,596,20,89,65533,10
3,79,625,21,57,65533,10
3,62,657,22,20,65533,10
3,68,536,18,26,65534,10
3,71,566,19,52,65534,10
3,75,596,20,56,65534,10
3,79,625,21,34,65534,10
3,118,619,21,22,65532,10
4,18,570,19,16,65530,10
4,19,600,20,53,65530,10
4,0,630,21,94,65530,10
4,0,660,22,99,65530,10
4,0,690,23,62,65530,10
4,65513,720,24,22,65530,10
4,65518,570,19,16,65531,10
4,65517,600,20,55,65531,10
4,65516,630,21,99,65531,10
4,65515,660,22,104,65531,10
4,65514,690,23,65,65531,10
4,65491,719,24,22,65531,10
4,84,534,18,18,65532,10
4,89,563,19,36,65532,10
4,94,593,20,39,65532,10
4,65497,629,21,24,65532,10
4,65515,660,22,26,65532,10
4,68,536,18,41,65533,10
4,71,566,19,80,65533,10
4,75,596,20,89,65533,10
4,79,625,21,57,65533,10
4,62,657,22,20,65533,10
4,68,536,18,26,65534,10
4,71,566,19,52,65534,10
4,75,596,20,56,65534,10
4,79,625,21,34,65534,10
4,118,619,21,22,65532,10
5,28,449,15,42,65531,10
5,30,479,16,56,65531,10
5,32,509,17,46,65531,10
5,34,539,18,22,65531,10
6,28,449,15,42,65531,10
6,30,479,16,56,65531,10
6,32,509,17,46,65531,10
6,34,539,18,22,65531,10
7,65498,298,10,54,65532,10
7,65495,328,11,47,65532,10
7,65491,357,12,25,65532,10
7,65498,298,10,31,65533,10
7,65505,329,11,30,65533,10
7,65502,359,12,18,65533,10
8,65498,298,10,54,65532,10
8,65495,328,11,47,65532,10
8,65491,357,12,25,65532,10
8,65498,298,10,31,65533,10
8,65505,329,11,30,65533,10
8,65502,359,12,18,65533,10
9,65513,239,8,16,0,10
9,65521,240,8,65,65534,10
9,65516,209,7,48,65535,10
9,65513,239,8,55,65535,10
9,65511,269,9,37,65535,10
